📋MASTER ASSET LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets - Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subitems,Sortable Asset #,Asset - Category,Asset - Subcategory,Market,🗺️LOCATIONS🗺️,Brand,Model,S/N,Description,Assigned to (People),IP,Mac Addresses,Ports & Protocols,Status,Labelled?,Replacement,Health,Impact,Est. Date of Receival,OG Est. Equipment Life (Yrs),Current Est. Equipment Life (Yrs),Age (Only Year),OG vs Current Life Difference (Yrs),OG Est. End of Life Date,Current Est. End of Life,OG Equipment Life Timeline - Start,OG Equipment Life Timeline - End,Current Equipment Life Timeline - Start,Current Equipment Life Timeline - End,Est. Replacement Cost($),Est. Replacement Project Costs,Actual Acquisition ($),Vehicle - Insurance Broker,Vehicle - Insurance Provider,Vehicle - Policy #,Vehicle - Permit # / Customer #,Vehicle - Plate #,Vehicle - Lease (Mths),Vehicle - Lease Start Date,Vehicle - Lease End Date,Vehicle - Allowance/Yr (kms),Vehicle - Plate Renewal Date,FE Asset Number,Total Replacement Est. ($),Current 12 month Activity,link to 🧱TX SITE BREAKDOWN,Item ID (auto generated)
393,,393,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Coaxial Dynamics,91090,1239,Wattmeter,,N/A,,,In Use,No,Replace,Healthy,Low,2024-05-03,15,15,2,,2039-05-03,2039-05-03,2024-05-03,2039-05-03,2024-05-03,2039-05-03,850,,,,,,,,,,,,,,850,,,6712952537
392,,392,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Burk,PLUS-X 600,BV234208,A I/O breakout for the ARC Touch to connect single cables in,,192.168.0.18,8C:1F:64:1F:E2:F6,,In Use,No,Replace,Healthy,High,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,1500,,,,,,,,,,,,,,1500,,,6712952491
391,,391,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Burk,PlusConnect VS,BN234207,Connects Nautel VS2.5 to Burk Arc Touch,,192.168.0.17,,,In Use,No,Replace,Healthy,High,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,2500,,,,,,,,,,,,,,2500,,,6712946844
390,,390,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Burk,ARC Touch Plus,AG231513,TX Site Remote Controller,,192.168.0.16,8C:1F:64:1F:E0:F5,"2000 - TCP, 83 - TCP",In Use,No,Replace,Healthy,High,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,8275,,,,,,,,,,,,,,8275,,,6712946818
389,,389,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Inovonics,541N,65,Remote Audio Listening / Monitoring & Silence detection.,,192.168.0.15,FC:C2:3D:3A:B2:17,82 - TCP,In Use,No,Replace,Healthy,High,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,8500,,,,,,,,,,,,,,8500,,,6712946798
388,,388,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Omnia,VOLT,0439I6820,Audio Processor,,192.168.0.13,,"84 - TCP, 7999 - TCP",In Use,No,Replace,Healthy,Critical,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,4050,,,,,,,,,,,,,,4050,,,6712946783
387,,387,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Nautel,VX600,10033654,Backup TX,,192.168.0.11,8C:1F:64:A3:23:4F,"Nautel VX600 Passthrough (444-TCP), Nautel VX600 HTTPS (443-TCP)",In Use - Backup,No,Replace,Healthy,Critical,2024-05-03,15,15,2,,2039-05-03,2039-05-03,2024-05-03,2039-05-03,2024-05-03,2039-05-03,6500,,,,,,,,,,,,,,6500,,,6712946632
386,,386,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Nautel,VS2.5,10026452,Primary TX,,192.168.0.10,70:B3:D5:87:CC:44,"80 - TCP, 3501 - TCP",In Use,No,Replace,Sick,Critical,2024-05-03,15,15,2,,2039-05-03,2039-05-03,2024-05-03,2039-05-03,2024-05-03,2039-05-03,18000,,,,,,,,,,,,,,18000,,,6712944280
385,,385,Technical Equipment,Power,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Panamax,VT1512-IP,PA01034F-91235100012,12 Outlet Bluebolt PDU,,DHCP,10:65:A3:05:27:8D,,In Use,No,Replace,Healthy,Critical,2024-04-22,10,10,2,,2034-04-22,2034-04-22,2024-04-22,2034-04-22,2024-04-22,2034-04-22,500,,,,,,,,,,,,,,500,,,6712878882
384,,384,Technical Equipment,Power,,Pippin Technical Service Ltd.,Panamax,VT1512-IP,PA01034F-91235100101,12 Outlet Bluebolt PDU,,,,,Not in Use,No,Replace,Healthy,Not in Use,2024-05-06,10,10,2,,2034-05-06,2034-05-06,2024-05-06,2034-05-06,2024-05-06,2034-05-06,500,,,,,,,,,,,,,,500,,,6712862961
383,,383,Technical Equipment,Broadcast,Corporate,Office - Belleville - National Media Centre,Axia,iQ 8F Expansion Frame,0283L0794,8 Fader Expansion board for main IQ console.,,,,,Damaged,Yes,Replace,Damaged,Critical,2024-03-18,10,10,2,,2034-03-18,2034-03-18,2024-03-18,2034-03-18,2024-03-18,2034-03-18,2835,,2835,,,,,,,,,,,171,2835,,,6483304813
382,,382,Technical Equipment,Connectivity,Saskatoon,TX Site - Saskatoon - Rawlco Tower,SonicWall,TZ270 Wireless,18C241500360,Router/Firewall,,192.168.0.1,18:C2:41:50:03:60,443 - TCP,In Use,Yes,Replace,Healthy,Critical,2024-04-12,5,5,2,,2029-04-12,2029-04-12,2024-04-12,2029-04-12,2024-04-12,2029-04-12,1400,,,,,,,,,,,,,,1400,,,6444970550
380,,380,Vehicle,,Regina,Residence - Dabria Karapita,JEEP,2023 Cherokee,1C4PJMMB6PD110634,,,,,,Leased,Not Necessary,N/A,,,,,,,,,,,,,,,,,Knightarcher,SGI Canada,,88655444,898MZI,48,2023-04-26,2027-04-26,18000,,,0,,,6382461644
379,,379,Vehicle,,Belleville,Office - Belleville - National Media Centre,KIA,2021 SOUL,KNDJ33AU4M7753574,,,,,,Buying Out,Not Necessary,N/A,,,,,,,,,,,,,,,,,Mackay Insurance,Unica,YFHOAC2856,L7171203,CSMA673,60,2021-03-25,2026-03-25,24000,2025-12-31,,0,,,6382448148
377,,377,Personnel Equipment,Desktop,Belleville,Office - Belleville - National Media Centre,HP,Z240 Workstation,2UA81327QN,Desktop,Jake McDonald,,,,In Use,Yes,Replace,Aging,Medium,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,2250,,,,,,,,,,,,,,2250,,,6146982177
376,,376,Personnel Equipment,Desktop,Belleville,Office - Belleville - National Media Centre,HP,Z2,MXL9453D5X,Desktop,Kathy Fowler,,,,In Use,Yes,Replace,Healthy,Medium,2024-01-01,5,5,2,,2029-01-01,2029-01-01,2024-01-01,2029-01-01,2024-01-01,2029-01-01,2250,,,,,,,,,,,,,,2250,,,6146982103
375,,375,Personnel Equipment,Desktop,Belleville,Office - Belleville - National Media Centre,HP,Z420,2UA4201LVT,Desktop,Dwayne Jamieson,,,,In Use,Yes,Do Not Replace,Aging,Low,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,2250,,,,,,,,,,,,,,2250,,,6146980676
374,,374,Technical Equipment,AV,Belleville,Office - Belleville - National Media Centre,Electro-Voice,RE27 N/D,Unknown,Microphone,,,,,Not in Use,Yes,Possibly Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,600,,,,,,,,,,,,,,600,,,6057701056
373,,373,Technical Equipment,AV,Belleville,Office - Belleville - National Media Centre,Electro-Voice,RE20,Unknown,Microphone,,,,,Not in Use,Yes,Possibly Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,600,,,,,,,,,,,,,,600,,,6057700829
372,,372,Technical Equipment,AV,Belleville,Office - Belleville - National Media Centre,dbx,DBX286SV,00003474,Mic Preamp/Processor,,,,,Not in Use,Yes,Possibly Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,425,,,,,,,,,,,,,,425,,,6057294867
371,,371,Technical Equipment,AV,Belleville,Office - Belleville - National Media Centre,dbx,DBX286SV,00003472,Mic Preamp/Processor,,,,,Not in Use,Yes,Possibly Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,425,,,,,,,,,,,,,,425,,,6057292524
370,,370,Personnel Equipment,Laptop,Belleville,Office - Belleville - National Media Centre,HP,EliteBook 850,5CG2111064,Laptop,John Roeper,,,,In Use,Yes,Replace,Chronic,Medium,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,1750,,,,,,,,,,,,,,1750,,,6057245653
369,,369,Technical Equipment,Power,Medicine Hat,Office - Medicine Hat - Dunmore,Panamax,VT1512-IP,PA01034F-91233400286,12 Outlet Rack PDU w/ Bluebolt Remote Power Cycling,,DHCP,10:65:A3:05:27:0F,,In Use,Yes,Replace,Healthy,Critical,2024-02-06,10,10,2,,2034-02-06,2034-02-06,2024-02-06,2034-02-06,2024-02-06,2034-02-06,450,,,,,,,,,,,,,,450,,,6024570992
368,,368,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,Unknown,,N/A,Transmission Line (Only our line from TX to combiner),,N/A,,,In Use,Not Necessary,Replace,Healthy,Critical,2024-01-01,26,26,2,,2050-01-01,2050-01-01,2024-01-01,2050-01-01,2024-01-01,2050-01-01,500,500,,,,,,,,,,,,,1000,,,6024558994
366,,366,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,,Unknown,,STL Transmission Line,,N/A,,,In Use,Not Necessary,Probably Replace,Healthy,Critical,2024-01-01,18,18,2,,2042-01-01,2042-01-01,2024-01-01,2042-01-01,2024-01-01,2042-01-01,1500,1500,5000,,,,,,,,,,,168,3000,,,6024550288
365,,365,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Probably Scala,Unknown,N/A,STL Antenna,,N/A,,,In Use,Not Necessary,Probably Replace,Healthy,Critical,2024-01-01,18,18,2,,2042-01-01,2042-01-01,2024-01-01,2042-01-01,2024-01-01,2042-01-01,2500,1500,,,,,,,,,,,,167,4000,,,6024543698
364,,364,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Unknown,Unknown,N/A,39U Rack (Rack 2),,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2024-01-01,37,37,2,,2061-01-01,2061-01-01,2024-01-01,2061-01-01,2024-01-01,2061-01-01,2000,,,,,,,,,,,,,166,2000,,,6024525930
363,,363,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Unknown,Unknown,N/A,39U Rack (Rack 1),,N/A,,,In Use,Yes,Do Not Replace,Healthy,Critical,2024-01-01,37,37,2,,2061-01-01,2061-01-01,2024-01-01,2061-01-01,2024-01-01,2061-01-01,2000,,,,,,,,,,,,,165,2000,,,6024525261
362,,362,Technical Equipment,Power,Medicine Hat,Office - Medicine Hat - Dunmore,APC,BR1000G,3B1049X17427,UPS,,,,,Not in Use,Yes,Do Not Replace,Healthy,Not in Use,2024-01-01,5,5,2,,2029-01-01,2029-01-01,2024-01-01,2029-01-01,2024-01-01,2029-01-01,500,,,,,,,,,,,,,164,500,,,6024453017
361,,361,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Orban,2200D/U,O03257-031 CK,Processor,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2024-01-01,5,5,2,,2029-01-01,2029-01-01,2024-01-01,2029-01-01,2024-01-01,2029-01-01,,,1000,,,,,,,,,,,163,0,,,6024441902
360,,360,Technical Equipment,Desktop,Medicine Hat,Office - Medicine Hat - Dunmore,HP,Z440,2UA4431F8L,Desktop,,DHCP,C4:34:6B:54:71:9A,,In Use,Yes,Do Not Replace,Aging,Low,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,2250,,,,,,,,,,,,,162,2250,,,6024426064
359,,359,Technical Equipment,Power,Medicine Hat,Office - Medicine Hat - Dunmore,Eaton,EX 1500 RT2U,2Q4P41039,UPS,,N/A,,,In Use,Yes,Replace,Aging,Critical,2024-01-01,1,4,2,3,2025-01-01,2028-01-01,2024-01-01,2025-01-01,2024-01-01,2028-01-01,2000,,,,,,,,,,,,,161,2000,,,6024418411
358,,358,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,MARTI,STL-20C / DDE-STL-20W-950S,108923-1,Composite STL Transmitter,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2024-01-01,7,7,2,,2031-01-01,2031-01-01,2024-01-01,2031-01-01,2024-01-01,2031-01-01,1500,,1000,,,,,,,,,,,160,1500,,,6024400712
357,,357,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Omnia,Omnia 1,0218i7899,Processor,,192.168.0.11,,,In Use,Yes,Replace,Healthy,Critical,2024-01-01,5,5,2,,2029-01-01,2029-01-01,2024-01-01,2029-01-01,2024-01-01,2029-01-01,4050,,1000,,,,,,,,,,,159,4050,,,6024394506
356,,356,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Rolls,RS80,11030542,QuartzPLL Synthesized Tuner (Receiver),,N/A,,,In Use,Yes,Do Not Replace,Healthy,Low,2024-01-01,5,5,2,,2029-01-01,2029-01-01,2024-01-01,2029-01-01,2024-01-01,2029-01-01,850,,,,,,,,,,,,,158,850,,,6024384036
355,,355,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,Eaton,EX 1500 RT2U,2Q4P41047,UPS,,N/A,,,In Use,Yes,Replace,Aging,Critical,2024-01-01,1,4,2,3,2025-01-01,2028-01-01,2024-01-01,2025-01-01,2024-01-01,2028-01-01,2000,,,,,,,,,,,,,157,2000,,,6014703826
354,,354,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,BEXT,FR500LCD,1005084,Transmitter,,N/A,,,In Use - Backup,Yes,Replace,Healthy,High,2024-01-01,7,7,2,,2031-01-01,2031-01-01,2024-01-01,2031-01-01,2024-01-01,2031-01-01,4500,,5000,,,,,,,,,,,156,4500,,,6014690401
353,,353,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,SBS,PA1000,00005395,Transmitter,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,10000,,2500,,,,,,,,,,,155,10000,,,6014679430
352,,352,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,BEXT,LEX 50,1600987,Exciter 50 Watt,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2024-01-01,3,3,2,,2027-01-01,2027-01-01,2024-01-01,2027-01-01,2024-01-01,2027-01-01,2000,,,,,,,,,,,,,154,2000,,,6014663610
351,,351,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,MARTI,SR-20C - 950-250,108923-2,STL Receiver,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2024-01-01,7,7,2,,2031-01-01,2031-01-01,2024-01-01,2031-01-01,2024-01-01,2031-01-01,1500,,,,,,,,,,,,,153,1500,,,6014646088
350,,350,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,Coaxial Dynamics,81070-200,1871,Wattmeter,,N/A,,,In Use,Yes,Replace,Healthy,Low,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,850,,,,,,,,,,,,,152,850,,,6014629798
349,,349,Technical Equipment,Power,Medicine Hat,TX Site - Medicine Hat - CBC Tower,Panamax,VT1512-IP,PA0134F-91233400285,12 Outlet PDU w/ Bluebolt,,DHCP,10:65:A3:05:27:0E,,In Use,Yes,Replace,Healthy,Critical,2024-02-06,10,10,2,,2034-02-06,2034-02-06,2024-02-06,2034-02-06,2024-02-06,2034-02-06,450,,,,,,,,,,,,,,450,,,6014442488
348,,348,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,TP-Link,TL-SG1048,223A3E3000331,48 Port Gigabit Rackmount Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2024-01-26,15,15,2,,2039-01-26,2039-01-26,2024-01-26,2039-01-26,2024-01-26,2039-01-26,250,,,,,,,,,,,,,,250,,,5962664633
347,,347,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,TP-Link,TL-SG1048,223A3E3000324,48 Port Gigabit Rackmount Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2024-01-26,15,15,2,,2039-01-26,2039-01-26,2024-01-26,2039-01-26,2024-01-26,2039-01-26,250,,,,,,,,,,,,,,250,,,5962659115
346,,346,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,FS,KVM-160217IP,PCW20231211129120N00001,16 Port Ethernet KVM,,192.168.100.19,00:4A:86:0C:C6:F1,,In Use,Yes,Replace,Healthy,Medium,2024-01-03,10,10,2,,2034-01-03,2034-01-03,2024-01-03,2034-01-03,2024-01-03,2034-01-03,1907,,,,,,,,,,,,,150,1907,,,5799493165
345,,345,Technical Equipment,Broadcast,Medicine Hat,Office - Medicine Hat - Dunmore,Telos,ZIPONE,0289L1790,Codec,,192.168.0.10,"00:90:FB:76:A6:85, 58:50:AB:00:28:38","8888 - TCP, 9150 - UDP, 9151 - UDP, 9152 - UDP, 9153 - UDP",In Use,Yes,Replace,Healthy,Critical,2024-01-02,10,10,2,,2034-01-02,2034-01-02,2024-01-02,2034-01-02,2024-01-02,2034-01-02,4000,,,,,,,,,,,,,149,4000,,,5771361347
344,,344,Technical Equipment,Connectivity,Medicine Hat,Office - Medicine Hat - Dunmore,SonicWall,TZ270 Wireless,18C2413D7258,Router/Firewall,,192.168.0.1,18:C2:41:3D:72:58,443 - TCP,In Use,Yes,Replace,Healthy,Critical,2023-12-21,5,5,3,,2028-12-21,2028-12-21,2023-12-21,2028-12-21,2023-12-21,2028-12-21,1400,,,,,,,,,,,,,148,1400,,,5729074062
343,,343,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,Verticle Cable,042-378/48,N/A,48 Port Patch Panel,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-11-24,15,15,3,,2038-11-24,2038-11-24,2023-11-24,2038-11-24,2023-11-24,2038-11-24,95.88,,,,,,,,,,,,,,95.88,,,5584308487
342,,342,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,TP-Link,TL-SG1048,222B002000819,48 Port Gigabit Rackmount Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-11-24,15,15,3,,2038-11-24,2038-11-24,2023-11-24,2038-11-24,2023-11-24,2038-11-24,233.45,,,,,,,,,,,,,,233.45,,,5584307838
341,,341,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,TP-Link,TL-SG1048,222B002000821,48 Port Gigabit Rackmount Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-11-24,15,15,3,,2038-11-24,2038-11-24,2023-11-24,2038-11-24,2023-11-24,2038-11-24,233.45,,,,,,,,,,,,,,233.45,,,5584305511
340,,340,Technical Equipment,Connectivity,Belleville,Office - Belleville - National Media Centre,TP-Link,TL-SG1048,222B002000823,48 Port Gigabit Rackmount Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-11-24,15,15,3,,2038-11-24,2038-11-24,2023-11-24,2038-11-24,2023-11-24,2038-11-24,233.45,,,,,,,,,,,,,,233.45,,,5584213679
339,,339,Technical Equipment,Tools,Regina,TX Site - Regina - Farm,MICROCHIP,ATATMEL-ICE-BASIC,2700063608,AVR Programming Pod,,N/A,,,In Use,Yes,Possibly Replace,Healthy,Low,2023-11-15,10,10,3,,2033-11-15,2033-11-15,2023-11-15,2033-11-15,2023-11-15,2033-11-15,210,,,,,,,,,,,,,,210,,,5523773885
338,,338,Technical Equipment,Power,Belleville,Office - Belleville - National Media Centre,Panamax,VT1512-IP,PA01034F-91233400298,Vertical PDU W/ Bluebolt - Server Room,,DHCP,10:65:A3:05:27:1B,,In Use,Yes,Replace,Healthy,Critical,2023-11-01,10,10,3,,2033-11-01,2033-11-01,2023-11-01,2033-11-01,2023-11-01,2033-11-01,370,,,,,,,,,,,,,,370,,,5433975736
337,,337,Personnel Equipment,Tablet,Belleville,Residence - John Connor,Apple,A1567,DMPSW8ZAHG6R,iPad Air 2,John Connor,,,,In Use,Yes,Do Not Replace,Aging,Low,2017-01-01,5,5,9,,2022-01-01,2022-01-01,2017-01-01,2022-01-01,2017-01-01,2022-01-01,,,,,,,,,,,,,,,0,,,5391381052
336,,336,Technical Equipment,Power,Fort McMurray,Office - Fort McMurray - King,Panamax,C3-IP,PA01035C-91232100445,3 Outlet Wall mounted PDU w/ Bluebolt,,DHCP,10:65:A3:04:72:34,,In Use,Yes,Probably Replace,Healthy,Critical,2023-09-11,10,10,3,,2033-09-11,2033-09-11,2023-09-11,2033-09-11,2023-09-11,2033-09-11,418,,,,,,,,,,,,,,418,,,5155746120
335,,335,Technical Equipment,Connectivity,Fort McMurray,Office - Fort McMurray - King,Netgear,GS308,4P017C5G02024,8 Port Switch,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2019-01-01,11,11,7,,2030-01-01,2030-01-01,2019-01-01,2030-01-01,2019-01-01,2030-01-01,65,,,,,,,,,,,,,,65,,,5155952301
334,,334,Technical Equipment,Broadcast,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Burk,BTU-4,N/A,Temperature Sensor Breakout Box,,N/A,,,In Use,Yes,Probably Replace,Healthy,Medium,2018-12-01,7,12,8,5,2025-12-01,2030-12-01,2018-12-01,2025-12-01,2018-12-01,2030-12-01,200,,,,,,,,,,,,,,200,,,5151625711
333,,333,Technical Equipment,Broadcast,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Coaxial Dynamics,88515-2,,"Dual Socket ""Slug"" RF sample in line",,N/A,,,In Use,Yes,Replace,Healthy,Medium,2018-12-01,25,25,8,,2043-12-01,2043-12-01,2018-12-01,2043-12-01,2018-12-01,2043-12-01,5000,,,,,,,,,,,,,,5000,,,5151456910
332,,332,Technical Equipment,Broadcast,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Myat,201-180-1,03132013-02,Coaxial Switch,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2018-12-01,15,15,8,,2033-12-01,2033-12-01,2018-12-01,2033-12-01,2018-12-01,2033-12-01,5000,,,,,,,,,,,,,,5000,,,5151444229
331,,331,Technical Equipment,Broadcast,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Altronic,6405E1,449,5KW Dummy Load,,N/A,,,In Use,Yes,Replace,Healthy,High,2018-12-01,26,26,8,,2044-12-01,2044-12-01,2018-12-01,2044-12-01,2018-12-01,2044-12-01,2500,,,,,,,,,,,,,,2500,,,5151429331
330,,330,Technical Equipment,Power,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Panamax,VT1512-IP,PA01034D-42211100165,Vertical PDU W/BlueBolt,,DHCP,,,In Use,Yes,Replace,Healthy,Critical,2023-09-11,10,10,3,,2033-09-11,2033-09-11,2023-09-11,2033-09-11,2023-09-11,2033-09-11,467.5,,,,,,,,,,,,,,467.5,,,5148451270
329,,329,Technical Equipment,Power,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Panamax,VT1512-IP,PA01034D-42211100166,Vertical PDU W/ Bluebolt,,DHCP,,,In Use,Yes,Replace,Healthy,Critical,2023-09-11,10,10,3,,2033-09-11,2033-09-11,2023-09-11,2033-09-11,2023-09-11,2033-09-11,467.5,,,,,,,,,,,,,,467.5,,,5148450694
328,,328,Technical Equipment,Power,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,Furman,F1500-UPS,FM02818F-44232200078,1500 VA UPS,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-08-14,5,5,3,,2028-08-14,2028-08-14,2023-08-14,2028-08-14,2023-08-14,2028-08-14,1663.75,,,,,,,,,,,,,144,1663.75,,,5148395483
327,,327,Technical Equipment,Connectivity,Fort McMurray,TX Site - Fort McMurray - Rogers Tower,TP-Link,TL-SG116,222B099001658,16 Port Gigabit Switch,,N/A,,,In Use,Yes,Replace,Healthy,High,2018-12-01,11,11,8,,2029-12-01,2029-12-01,2018-12-01,2029-12-01,2018-12-01,2029-12-01,70,,,,,,,,,,,,,,70,,,5142787973
326,,326,Technical Equipment,Power,Fort McMurray,Office - Fort McMurray - King,Panamax,MB850,PA00853C-44232000164,UPS 850VA W/ Power Regulation,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2023-09-11,5,5,3,,2028-09-11,2028-09-11,2023-09-11,2028-09-11,2023-09-11,2028-09-11,390.5,,,,,,,,,,,,,,390.5,,,5141313411
325,,325,Technical Equipment,Power,Fort McMurray,Office - Fort McMurray - King,Panamax,MB850,PA00853C-44232000175,UPS 850VA W/ Power Regulation,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2023-09-11,5,5,3,,2028-09-11,2028-09-11,2023-09-11,2028-09-11,2023-09-11,2028-09-11,390.5,,,,,,,,,,,,,143,390.5,,,5141245486
324,,324,Technical Equipment,Power,Fort McMurray,Office - Fort McMurray - King,Panamax,M4315-PRO,PA00859S089223400340,Horizontal PDU for STL Rack W/ Bluebolt,,DHCP,10:65:A3:07:83:8C,,In Use,Yes,Probably Replace,Healthy,Critical,2023-08-14,10,10,3,,2033-08-14,2033-08-14,2023-08-14,2033-08-14,2023-08-14,2033-08-14,786.5,,,,,,,,,,,,,,786.5,,,5140182522
323,,323,Personnel Equipment,Laptop,Saskatoon,Residence - Tyler Rody,Apple,A2681,KYXHGG4TVJ,Macbook Air 13.6-inch,Tyler Rody,,,,In Use,Yes,Replace,Healthy,Medium,2023-08-21,5,5,3,,2028-08-21,2028-08-21,2023-08-21,2028-08-21,2023-08-21,2028-08-21,1750,,,,,,,,,,,,,145,1750,,,5023847030
322,,322,Technical Equipment,Power,Brockville,TX Site - Brockville - American Tower,Panamax,M4315-PRO,PA00859S089223400322,"Horizontal 19"" rack PDU and power conditioner w/ Bluebolt remote power cycling",,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-08-17,10,10,3,,2033-08-17,2033-08-17,2023-08-17,2033-08-17,2023-08-17,2033-08-17,786.5,,,,,,,,,,,,,146,786.5,,,5013364903
321,,321,Technical Equipment,Power,Belleville,Office - Belleville - National Media Centre,PFPower,BATT1500-EXT,PA00857B044223600021,External battery expansion for Furman/Panamax 1500 UPS - PF stands for Panamax/Furman,,N/A,,,In Use,Yes,Replace,Healthy,Critical,2023-07-21,5,5,3,,2028-07-21,2028-07-21,2023-07-21,2028-07-21,2023-07-21,2028-07-21,1012,,,,,,,,,,,,,,1012,,,4853055138
