📋MASTER ASSET LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets - Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subitems,Sortable Asset #,Asset - Category,Asset - Subcategory,Market,🗺️LOCATIONS🗺️,Brand,Model,S/N,Description,Assigned to (People),IP,Mac Addresses,Ports & Protocols,Status,Labelled?,Replacement,Health,Impact,Est. Date of Receival,OG Est. Equipment Life (Yrs),Current Est. Equipment Life (Yrs),Age (Only Year),OG vs Current Life Difference (Yrs),OG Est. End of Life Date,Current Est. End of Life,OG Equipment Life Timeline - Start,OG Equipment Life Timeline - End,Current Equipment Life Timeline - Start,Current Equipment Life Timeline - End,Est. Replacement Cost($),Est. Replacement Project Costs,Actual Acquisition ($),Vehicle - Insurance Broker,Vehicle - Insurance Provider,Vehicle - Policy #,Vehicle - Permit # / Customer #,Vehicle - Plate #,Vehicle - Lease (Mths),Vehicle - Lease Start Date,Vehicle - Lease End Date,Vehicle - Allowance/Yr (kms),Vehicle - Plate Renewal Date,FE Asset Number,Total Replacement Est. ($),Current 12 month Activity,link to 🧱TX SITE BREAKDOWN,Item ID (auto generated)
433,,433,Technical Equipment,Power,Chatham,Office - Chatham - Centre,Nice,M4315-PRO,PA00859Y-1A250701024,Rack PDU w/ Bluebolt,,,10:65:A3:09:28:5B,,In Use,Yes,Replace,Healthy,Critical,2025-04-30,10,10,1,,2035-04-30,2035-04-30,2025-04-30,2035-04-30,2025-04-30,2035-04-30,786.5,,,,,,,,,,,,,,786.5,,,9042410037
432,,432,Personnel Equipment,Laptop,Corporate,Residence - Joseph Enverga,Lenovo,ThinkPad P14S Gen 5 AMD,PF5AXL4K,Lenovo Thinkpad P14S Gen 5,Joseph Enverga,,C8:53:09:2D:3F:0D,,In Use,Yes,Replace,Healthy,Medium,2025-04-22,5,5,1,,2030-04-22,2030-04-22,2025-04-22,2030-04-22,2025-04-22,2030-04-22,1800,,,,,,,,,,,,,,1800,,,8977335129
431,,431,Technical Equipment,Connectivity,Chatham,Office - Chatham - Centre,Peplink,PEP-B-ONE-5GN-T-PRM,1934-8841-0AF5,Peplink B-One Dual WAN 1 GBps Router with WIFI 6 and 5G cellular - Firewall,,192.168.103.1,"D4:13:F8:39:CB:21, D4:13:F8:39:CB:22, D4:13:F8:39:CB:20",443 - TCP,In Use,Yes,Replace,Healthy,Critical,2025-03-31,5,5,1,,2030-03-31,2030-03-31,2025-03-31,2030-03-31,2025-03-31,2030-03-31,1050,,,,,,,,,,,,,,1050,,,8819495423
429,,429,Technical Equipment,Connectivity,,Office - Belleville - National Media Centre,Starlink,Gen 3 High Perfomance WiFi Router,W3KWV00525977,Starlink Router,,,,,Not in Use,Yes,Replace,Healthy,Not in Use,2025-03-24,10,10,1,,2035-03-24,2035-03-24,2025-03-24,2035-03-24,2025-03-24,2035-03-24,200,,,,,,,,,,,,,,200,,,8767738805
428,,428,Personnel Equipment,Laptop,Regina,Residence - Dabria Karapita,Apple,A3114 (Macbook Air 15-inch),FMHJQQ4DWQ,,Dabria Karapita,,,,In Use,Yes,Replace,Healthy,High,2025-03-12,5,5,1,,2030-03-12,2030-03-12,2025-03-12,2030-03-12,2025-03-12,2030-03-12,1800,,,,,,,,,,,,,,1800,,,8688770377
427,,427,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,Yoga Pro 9i,PF52TY65,,Liz Latchford,,,,In Use,Yes,Replace,Healthy,High,2025-02-05,5,5,1,,2030-02-05,2030-02-05,2025-02-05,2030-02-05,2025-02-05,2030-02-05,2300,,,,,,,,,,,,,,2300,,,8410278210
426,,426,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,ThinkPad P14S Gen 5 AMD,PF562EPA,,Rebekah Busby,,,,In Use,Yes,Replace,Healthy,High,2025-01-07,5,5,1,,2030-01-07,2030-01-07,2025-01-07,2030-01-07,2025-01-07,2030-01-07,1600,,,,,,,,,,,,,,1600,,,8182700095
425,,425,Personnel Equipment,Laptop,,Office - Belleville - National Media Centre,Lenovo,ThinkPad P14S Gen 5 AMD,PF562GY5,,Jamie Wicklam,,,,In Use,Yes,Replace,Healthy,High,2025-01-07,5,5,1,,2030-01-07,2030-01-07,2025-01-07,2030-01-07,2025-01-07,2030-01-07,1600,,,,,,,,,,,,,,1600,,,8182651721
424,,424,Technical Equipment,AV,,Office - Belleville - National Media Centre,Behringer,MX882,N080121056,Ultralink Pro Ultra Flexible 8-Channel Splitter/Mixer,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8157920788
423,,423,Technical Equipment,Broadcast,,Office - Belleville - National Media Centre,Henry Engineering (HE),Audio Switcher + Silence Sensor,,,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2015-01-01,15,15,11,,2030-01-01,2030-01-01,2015-01-01,2030-01-01,2015-01-01,2030-01-01,1000,,,,,,,,,,,,,,1000,,,8157866372
422,,422,Personnel Equipment,Laptop,Belleville,Office - Belleville - National Media Centre,Lenovo,T14s/20XF0076US,GM06LQVW,,Donna Isenor,,,,In Use,Yes,Replace,Healthy,Medium,2023-06-26,5,5,3,,2028-06-26,2028-06-26,2023-06-26,2028-06-26,2023-06-26,2028-06-26,1750,,,,,,,,,,,,,,1750,,,4711535268
421,,421,Technical Equipment,Broadcast,Maynooth,TX Site - Maynooth - Fire Tower,StarTech,2POSTRACK12,,12 U Self Standing Rack,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-10-17,50,50,2,,2074-10-17,2074-10-17,2024-10-17,2074-10-17,2024-10-17,2074-10-17,200,,,,,,,,,,,,,,200,,,7677995068
420,,420,Personnel Equipment,Laptop,Not Market Specific,Residence - Christian Victory,Apple,Macbook Air M3,FGQ4VDPH26,"MBA 15.3 STARLIGHT,10C GPU,16GB,512GB",Christian Victory,,,,In Use,Yes,Replace,Healthy,Medium,2024-10-01,5,5,2,,2029-10-01,2029-10-01,2024-10-01,2029-10-01,2024-10-01,2029-10-01,2200,,2208,,,,,,,,,,,,2200,,,7539730258
419,,419,Technical Equipment,Broadcast,Medicine Hat,TX Site - Medicine Hat - CBC Tower,,,,STL Receival Line,,N/A,,,In Use,Not Necessary,Possibly Replace,Healthy,Critical,2024-01-01,18,18,2,,2042-01-01,2042-01-01,2024-01-01,2042-01-01,2024-01-01,2042-01-01,1000,1500,,,,,,,,,,,,,2500,,,7251964337
418,,418,Technical Equipment,Broadcast,Chatham,TX Site - Chatham - Fairview,Nicom,RSL 900,17631,STL Receiver,,N/A,,,In Use,No,Do Not Replace,Aging,Critical,2007-01-01,15,19,19,4,2022-01-01,2026-01-01,2007-01-01,2022-01-01,2007-01-01,2026-01-01,1500,,,,,,,,,,,,,,1500,,,7250636722
417,,417,Technical Equipment,Connectivity,,TX Site - Belleville - Read,D-LINK,DGS-1210-10,S3531F1000155,Managed 8 Port switch with x2 SFP,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2015-01-01,15,15,11,,2030-01-01,2030-01-01,2015-01-01,2030-01-01,2015-01-01,2030-01-01,135,,,,,,,,,,,,,,135,,,7098158348
416,,416,Technical Equipment,AV,,TX Site - Belleville - Read,Videoquip Research,ADA-204A/R1,23545,ADA-204A Dual 1x4 Audio Distribution Amplifier,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,7098157296
415,,415,Technical Equipment,Broadcast,,TX Site - Belleville - Read,Henry Engineering (HE),AUTOSWITCH,4400,AUDIO SWITCHER & SILENCE SENSOR,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,,,0,,0,,,,,,,550,,,,,,,,,,,,,,550,,,7098154717
